output:ms5_aab001 timestep:0.001000 sim_time:200.000000 thermostat_temperature:150.000000 relaxation_time:20.000000 mode:1 lattice_size:6 lattice_spacing:1.500000 
                time        total_energy      kinetic_energy    potential_energy          temprature
        0.0000000000     -222.8403571519        6.4190597719     -229.2594169238        8.9153616858
        0.1410000000     -222.1405620454       13.2117683173     -235.3523303627       18.3496800534
        0.2820000000     -221.5433112495       36.9196143791     -258.4629256286       51.2772473210
        0.4230000000     -221.2155142879       92.0573630544     -313.2728773423      127.8574614724
        0.5640000000     -221.3208681850      146.9543689351     -368.2752371202      204.1033105980
        0.7050000000     -221.7549973167      196.6054106072     -418.3604079238      273.0630975940
        0.8460000000     -222.5380904851      238.0326202079     -460.5707106929      330.6008944599
        0.9870000000     -223.5724180572      275.1552738884     -498.7276919456      382.1601408389
        1.1280000000     -224.8575271987      313.3786655545     -538.2361927531      435.2481901282
        1.2690000000     -226.4692604410      350.1810629276     -576.6503233686      486.3626360357
        1.4100000000     -228.2390082051      380.3925043585     -608.6315125636      528.3229755524
        1.5510000000     -230.1966592461      403.3225518930     -633.5192111391      560.1702669795
        1.6920000000     -232.2777080830      391.9285719889     -624.2062800720      544.3452933080
        1.8330000000     -234.4229060213      398.8119563851     -633.2348624064      553.9055503698
        1.9740000000     -236.5910764566      400.5443372607     -637.1354137173      556.3116351599
        2.1150000000     -238.6456781036      393.1724021803     -631.8180802840      546.0728354133
        2.2560000000     -240.4900715790      343.0196491454     -583.5097207244      476.4162270102
        2.3970000000     -242.1812754799      335.6983842742     -577.8796597542      466.2478025612
        2.5380000000     -243.7583626914      326.2309152979     -569.9892779893      453.0985387791
        2.6790000000     -245.2509297520      311.2483714390     -556.4993011910      432.2894480053
        2.8200000000     -246.6442659129      307.5759365249     -554.2202024378      427.1888434480
        2.9610000000     -248.0166665107      297.2574573352     -545.2741238459      412.8576209179
        3.1020000000     -249.3570872275      297.3315864290     -546.6886736565      412.9605780031
        3.2430000000     -250.6671717349      300.7103016322     -551.3774733672      417.6532384767
        3.3840000000     -251.9511674239      295.1179942145     -547.0691616384      409.8861440643
        3.5250000000     -253.2696322303      288.0098840688     -541.2795162991      400.0137678747
        3.6660000000     -254.5841448233      286.0799404519     -540.6640852752      397.3332903609
        3.8070000000     -255.8692938013      294.1161184107     -549.9854122119      408.4946497532
        3.9480000000     -257.1337064041      290.3275157910     -547.4612221951      403.2327011441
        4.0890000000     -258.4103197594      279.5899404532     -538.0002602126      388.3194005725
        4.2300000000     -259.6055630415      280.1336681329     -539.7392311745      389.0745779810
        4.3710000000     -260.8043598282      277.3046310555     -538.1089908837      385.1453594249
        4.5120000000     -261.9636875941      269.4596940975     -531.4233816916      374.2496125604
        4.6530000000     -263.1667825658      271.1135248055     -534.2803073713      376.5465998845
        4.7940000000     -264.3475841894      279.2452303969     -543.5928145863      387.8406365576
        4.9350000000     -265.5372166430      282.1168681700     -547.6540848130      391.8290227523
        5.0760000000     -266.7625549339      286.3203872920     -553.0829422259      397.6672443389
        5.2170000000     -268.0231876898      278.3450213431     -546.3682090329      386.5903460800
        5.3580000000     -269.2679393159      285.1085288949     -554.3764682107      395.9841075079
        5.4990000000     -270.5676698284      304.3220457287     -574.8897155571      422.6695502235
        5.6400000000     -271.9110393205      300.9989945102     -572.9100338308      418.0542008474
        5.7810000000     -273.2213770319      289.9907209093     -563.2120979412      402.7649304283
        5.9220000000     -274.5151070567      299.3063836052     -573.8214906618      415.7033521331
        6.0630000000     -275.8651542098      301.4563187716     -577.3214729814      418.6893734962
        6.2040000000     -277.2271982604      297.1776609026     -574.4048591630      412.7467925283
        6.3450000000     -278.5404156515      298.5311136193     -577.0715292707      414.6265881561
        6.4860000000     -279.8414984621      281.7731433591     -561.6146418212      391.3516271339
        6.6270000000     -281.1026543621      288.2666148570     -569.3692692191      400.3703384496
        6.7680000000     -282.3487580559      279.3066791726     -561.6554372285      387.9259820879
        6.9090000000     -283.5732432618      289.8581032926     -573.4313465544      402.5807392756
        7.0500000000     -284.8491823618      282.6055633180     -567.4547456798      392.5077660813
        7.1910000000     -286.0963490038      285.3241554056     -571.4205044094      396.2835888028
        7.3320000000     -287.3338663514      281.6911044270     -569.0249707784      391.2376841613
        7.4730000000     -288.5170413209      276.9707861059     -565.4878274269      384.6816858375
        7.6140000000     -289.6828544290      266.6613730264     -556.3442274554      370.3630551285
        7.7550000000     -290.8275833225      282.4989881831     -573.3265715056      392.3597450459
        7.8960000000     -292.0221336891      274.6926178020     -566.7147514911      381.5175628767
        8.0370000000     -293.1352772243      267.6289991043     -560.7642763287      371.7069803711
        8.1780000000     -294.3271405220      290.2343423322     -584.5614828542      403.1032935495
        8.3190000000     -295.5105485612      267.8905900589     -563.4011386201      372.0703011777
        8.4600000000     -296.7409685690      279.8903187214     -576.6312872904      388.7365926534
        8.6010000000     -297.9839010735      286.1486161892     -584.1325172627      397.4286733390
        8.7420000000     -299.2057665219      277.0254890290     -576.2312555509      384.7576621272
        8.8830000000     -300.3853211757      277.0442830037     -577.4296041793      384.7837648723
        9.0240000000     -301.4819781633      256.9374803785     -558.4194585418      356.8576473226
        9.1650000000     -302.5309354178      261.2066961870     -563.7376316048      362.7871143162
        9.3060000000     -303.5938430131      250.4497233005     -554.0435663135      347.8468727020
        9.4470000000     -304.5811635644      257.6097508513     -562.1909144157      357.7913564059
        9.5880000000     -305.6335639304      254.0030684599     -559.6366323903      352.7820748059
        9.7290000000     -306.6369684848      247.7865271854     -554.4234956702      344.1479888390
        9.8700000000     -307.6408079793      250.0448183015     -557.6856262808      347.2845045917
       10.0110000000     -308.6802680742      264.7356041137     -573.4158721879      367.6883758157
       10.1520000000     -309.7926772288      260.8112175518     -570.6038947805      362.2378383790
       10.2930000000     -310.9234890459      270.6727457494     -581.5962347953      375.9344066898
       10.4340000000     -312.0558914966      266.3023264930     -578.3582179896      369.8643793378
       10.5750000000     -313.2535382106      280.5156163816     -593.7691545921      389.6050617127
       10.7160000000     -314.3750194053      267.4265509007     -581.8015703059      371.4258022824
       10.8570000000     -315.4715859471      262.0783226731     -577.5499086202      363.9977067791
       10.9980000000     -316.5071600179      256.3010693722     -572.8082293900      355.9737430587
       11.1390000000     -317.4995543641      251.9823066538     -569.4818610179      349.9754609057
       11.2800000000     -318.5458657426      249.6531063415     -568.1989720841      346.7404601484
       11.4210000000     -319.5169013876      246.7695994206     -566.2865008082      342.7355890244
       11.5620000000     -320.4779390073      236.6576780428     -557.1356170501      328.6912523729
       11.7030000000     -321.4350739327      242.7181874761     -564.1532614088      337.1086274277
       11.8440000000     -322.3887738202      244.6718459495     -567.0606197697      339.8220422454
       11.9850000000     -323.3603246092      245.3154640604     -568.6757886696      340.7159563778
       12.1260000000     -324.3898901847      253.2964416873     -577.6863318720      351.8006486347
       12.2670000000     -325.3583159401      249.0201710144     -574.3784869546      345.8613832173
       12.4080000000     -326.3408508526      254.4493847203     -580.7902355729      353.4019585629
       12.5490000000     -327.3121221633      246.5144786622     -573.8266008255      342.3812546023
       12.6900000000     -328.2004219508      224.1300107796     -552.3304327304      311.2917127675
