output:ms6_aab001 timestep:0.001000 sim_time:200.000000 thermostat_temperature:150.000000 relaxation_time:20.000000 mode:1 lattice_size:4 lattice_spacing:1.500000 cutoff_radius:150.000000 
                time        total_energy      kinetic_energy    potential_energy          temprature
        0.0000000000        2.1171867215        2.1171867215        0.0000000000        9.9243137495
        0.1410000000        2.3271248795        2.3271248795        0.0000000000       10.9083989635
        0.2820000000        2.5355881417        2.5355881417        0.0000000000       11.8855706028
        0.4230000000        2.7425868699        2.7425868699        0.0000000000       12.8558772381
        0.5640000000        2.9481313529        2.9481313529        0.0000000000       13.8193670985
        0.7050000000        3.1522318073        3.1522318073        0.0000000000       14.7760880745
        0.8460000000        3.3548983781        3.3548983781        0.0000000000       15.7260877202
        0.9870000000        3.5561411389        3.5561411389        0.0000000000       16.6694132553
        1.1280000000        3.7512854802        3.7512854802        0.0000000000       17.5841524467
        1.2690000000        3.9501931552        3.9501931552        0.0000000000       18.5165322666
        1.4100000000        4.1444666211        4.1444666211        0.0000000000       19.4271892289
        1.5510000000        4.3371845205        4.3371845205        0.0000000000       20.3305544730
        1.6920000000        4.5189111357        4.5189111357        0.0000000000       21.1823980671
        1.8330000000        4.7140946659        4.7140946659        0.0000000000       22.0973209561
        1.9740000000        4.9128650396        4.8687308705        0.0441341691       22.8221782378
        2.1150000000        5.1043603026        5.1043603026        0.0000000000       23.9266913111
        2.2560000000        5.2954324715        5.2954324715        0.0000000000       24.8223421925
        2.3970000000        5.4807545725        5.4807545725        0.0000000000       25.6910396279
        2.5380000000        5.6679834455        5.6679834455        0.0000000000       26.5686750575
        2.6790000000        5.8372576708        5.8372576708        0.0000000000       27.3621480682
        2.8200000000        6.0210609091        6.0210609091        0.0000000000       28.2237258337
        2.9610000000        6.2038149600        6.1640833361        0.0397316239       28.8941435274
        3.1020000000        6.3849359174        6.3849359174        0.0000000000       29.9293901057
        3.2430000000        6.5619602716        6.5619602716        0.0000000000       30.7591918491
        3.3840000000        6.7352978953        6.7352978953        0.0000000000       31.5717120415
        3.5250000000        6.9127920579        6.9127920579        0.0000000000       32.4037160117
        3.6660000000        7.0849245490        7.0849245490        0.0000000000       33.2105871445
        3.8070000000        7.2613365283        7.2613365283        0.0000000000       34.0375183801
        3.9480000000        7.4379630931        7.4379630931        0.0000000000       34.8654554853
        4.0890000000        7.6100904076        7.6100904076        0.0000000000       35.6723023530
        4.2300000000        7.7835046209        7.7835046209        0.0000000000       36.4851815588
        4.3710000000        7.9541529757        7.9541529757        0.0000000000       37.2850958020
        4.5120000000        8.1232707613        8.1232707613        0.0000000000       38.0778355013
        4.6530000000        8.2899335687        8.2899335687        0.0000000000       38.8590674891
        4.7940000000        8.4533143837        8.4533143837        0.0000000000       39.6249151360
        4.9350000000        8.6184860537        8.6184860537        0.0000000000       40.3991574166
        5.0760000000        8.7827501000        8.7827501000        0.0000000000       41.1691452105
        5.2170000000        8.9458601285        8.9458601285        0.0000000000       41.9337235458
        5.3580000000        9.1078242468        9.1078242468        0.0000000000       42.6929304263
        5.4990000000        9.2686505053        9.2686505053        0.0000000000       43.4468035884
        5.6400000000        9.4283468979        9.4283468979        0.0000000000       44.1953805034
        5.7810000000        9.5869213623        9.5869213623        0.0000000000       44.9386983797
        5.9220000000        9.7443817805        9.7443817805        0.0000000000       45.6767941638
        6.0630000000        9.9007359791        9.9007359791        0.0000000000       46.4097045431
        6.2040000000       10.0559917297       10.0559917297        0.0000000000       47.1374659469
        6.3450000000       10.2095305625       10.2095305625        0.0000000000       47.8571792975
        6.4860000000       10.3626169132       10.3626169132        0.0000000000       48.5747716381
        6.6270000000       10.5146277738       10.5146277738        0.0000000000       49.2873226184
        6.7680000000       10.6700669630       10.6700669630        0.0000000000       50.0159438906
        6.9090000000       10.8199178695       10.8199178695        0.0000000000       50.7183700852
        7.0500000000       10.9687160162       10.9687160162        0.0000000000       51.4158614675
        7.1910000000       11.1164687990       11.1164687990        0.0000000000       52.1084527062
        7.3320000000       11.2631835621       11.2631835621        0.0000000000       52.7961782269
        7.4730000000       11.4088675979       11.4088675979        0.0000000000       53.4790722131
        7.6140000000       11.5535281477       11.5535281477        0.0000000000       54.1571686081
        7.7550000000       11.6971724019       11.6971724019        0.0000000000       54.8305011168
        7.8960000000       11.8398075003       11.8398075003        0.0000000000       55.4991032074
        8.0370000000       11.9814405326       11.9814405326        0.0000000000       56.1630081129
        8.1780000000       12.1220785388       12.1220785388        0.0000000000       56.8222488328
        8.3190000000       12.2617285092       12.2617285092        0.0000000000       57.4768581347
        8.4600000000       12.4003973853       12.4003973853        0.0000000000       58.1268685562
        8.6010000000       12.5414435895       12.4975152343        0.0439283553       58.5821085189
        8.7420000000       12.6848206358       12.6848206358        0.0000000000       59.4601026765
        8.8830000000       12.8205171281       12.8205171281        0.0000000000       60.0961800474
        9.0240000000       12.9552603006       12.9552603006        0.0000000000       60.7277887317
        9.1650000000       13.0890568508       13.0890568508        0.0000000000       61.3549601236
        9.3060000000       13.2219134292       13.2219134292        0.0000000000       61.9777253970
        9.4470000000       13.3567373915       13.3567373915        0.0000000000       62.6097127837
        9.5880000000       13.4877134118       13.4877134118        0.0000000000       63.2236629402
        9.7290000000       13.6177692755       13.6177692755        0.0000000000       63.8332998623
        9.8700000000       13.7469114471       13.7469114471        0.0000000000       64.4386538520
       10.0110000000       13.8751463455       13.8751463455        0.0000000000       65.0397549987
       10.1520000000       14.0024803449       14.0024803449        0.0000000000       65.6366331802
       10.2930000000       14.1289197742       14.1289197742        0.0000000000       66.2293180644
       10.4340000000       14.2544709182       14.2544709182        0.0000000000       66.8178391109
       10.5750000000       14.3791400175       14.3791400175        0.0000000000       67.4022255722
       10.7160000000       14.5029332687       14.5029332687        0.0000000000       67.9825064953
       10.8570000000       14.6258568250       14.6258568250        0.0000000000       68.5587107232
       10.9980000000       14.7477808827       14.7477808827        0.0000000000       69.1302298005
       11.1390000000       14.8689842910       14.8689842910        0.0000000000       69.6983708337
       11.2800000000       14.9893361990       14.9893361990        0.0000000000       70.2625204591
       11.4210000000       15.1088425889       15.1088425889        0.0000000000       70.8227067178
       11.5620000000       15.2275094008       15.2275094008        0.0000000000       71.3789574540
       11.7030000000       15.3453425329       15.3453425329        0.0000000000       71.9313003162
       11.8440000000       15.4623478423       15.4623478423        0.0000000000       72.4797627588
       11.9850000000       15.5785311447       15.5785311447        0.0000000000       73.0243720432
       12.1260000000       15.6938982150       15.6938982150        0.0000000000       73.5651552394
       12.2670000000       15.8084547876       15.8084547876        0.0000000000       74.1021392269
       12.4080000000       15.9222065564       15.9222065564        0.0000000000       74.6353506968
       12.5490000000       16.0351591757       16.0351591757        0.0000000000       75.1648161523
       12.6900000000       16.1473182596       16.1473182596        0.0000000000       75.6905619108
