
                time        total_energy      kinetic_energy    potential_energy          temprature
        0.0000000000      -32.9894304414        0.1019157067    -3299.0449598495      -32.9894304414
        0.1414210000    -3252.1295340749      126.8503595112    -3300.2277979406    -3252.1295340749
        0.2828420000    -3036.7127433817      422.7140577516    -3303.1435513340    -3036.7127433817
        0.4242630000    -2687.8784470452      817.9222764747    -3307.1021236258    -2687.8784470452
        0.5656840000    -2278.6208397932     1237.3942386536    -3311.3510858569    -2278.6208397932
        0.7071050000    -1877.8662752956     1619.8383303216    -3315.2693293173    -1877.8662752956
        0.8485260000    -1533.6107361586     1930.3596171944    -3318.4971763253    -1533.6107361586
        0.9899470000    -1266.9583272908     2159.6384929893    -3320.9315345685    -1266.9583272908
        1.1313680000    -1079.2049127155     2311.7730368994    -3322.6054420714    -1079.2049127155
        1.2727890000     -964.7925927415     2392.7908675712    -3323.5723113192     -964.7925927415
        1.4142100000     -917.1148061349     2411.0297496102    -3323.9092618279     -917.1148061349
        1.5556310000     -923.6195213146     2384.4062823097    -3323.7911668455     -923.6195213146
        1.6970520000     -960.9977764383     2341.1548207537    -3323.4997520226     -960.9977764383
        1.8384730000     -999.7309023266     2310.6446986871    -3323.3318185514     -999.7309023266
        1.9798940000    -1015.0797768655     2312.0246164411    -3323.4839114790    -1015.0797768655
        2.1213150000     -995.9068551355     2348.4928569431    -3323.9926807001     -995.9068551355
        2.2627360000     -915.1376629077     2437.0188390973    -3304.0467877662     -915.1376629077
        2.4041570000     -809.1282033070     2548.5859089592    -3298.8684376034     -809.1282033070
        2.5455780000     -698.8790354019     2644.9174416632    -3289.3274274972     -698.8790354019
        2.6869990000     -605.8431218345     2712.6208122093    -3290.1921900595     -605.8431218345
        2.8284200000     -573.1431020516     2707.9377048578    -3290.3302927735     -573.1431020516
        2.9698410000     -614.7236805819     2622.4506964184    -3282.2343517095     -614.7236805819
        3.1112620000     -665.9186201938     2571.8804409103    -3249.5090153669     -665.9186201938
        3.2526830000     -677.2630351532     2562.7401912575    -3228.2039753244     -677.2630351532
        3.3941040000     -663.2431645509     2573.1839763447    -3235.6481690359     -663.2431645509
        3.5355250000     -648.6288106242     2582.0037091674    -3191.2550087801     -648.6288106242
        3.6769460000     -593.0619868093     2594.7106751540    -3186.8827921254     -593.0619868093
        3.8183670000     -609.2468387540     2550.0224501352    -3168.9349180378     -609.2468387540
        3.9597880000     -596.5730964760     2575.7951774425    -3149.1957901278     -596.5730964760
        4.1012090000     -525.4618830472     2670.4065588167    -3141.0086382173     -525.4618830472
        4.2426300000     -389.6552436905     2834.3969477609    -3127.4634563516     -389.6552436905
        4.3840510000     -194.0070271546     2985.7269483856    -3096.5390780350     -194.0070271546
        4.5254720000     -105.9161484861     2961.2242984475    -3096.5108575654     -105.9161484861
        4.6668930000     -233.4579393332     2721.3317624674    -3086.9183725373     -233.4579393332
        4.8083140000     -547.5798191835     2356.0668443102    -3083.3919285048     -547.5798191835
        4.9497350000     -861.4371063186     2134.1373265480    -3081.2673747067     -861.4371063186
        5.0911560000     -921.3604476039     2203.6545397379    -3062.7286786051     -921.3604476039
        5.2325770000     -728.6023343399     2488.1681306490    -3065.7385173934     -728.6023343399
        5.3739980000     -388.2030637382     2846.4634676492    -3058.8305057869     -388.2030637382
        5.5154190000      -25.7321310531     3233.0329373596    -3073.9062205701      -25.7321310531
        5.6568400000      282.7132988153     3437.1456149284    -3076.2272335832      282.7132988153
        5.7982610000      345.3875574959     3360.0077945499    -3075.7143468409      345.3875574959
        5.9396820000      145.7192013458     3058.5776444764    -3072.9087411139      145.7192013458
        6.0811030000     -171.4585356890     2751.1712667753    -3061.3000181904     -171.4585356890
        6.2225240000     -405.9739033716     2587.8205468727    -3059.8163972143     -405.9739033716
        6.3639450000     -482.1457598689     2580.5356004622    -3065.2231457866     -482.1457598689
        6.5053660000     -485.1787692164     2561.1545772315    -3058.4843079185     -485.1787692164
        6.6467870000     -532.7327969947     2482.7507727687    -3057.8564810970     -532.7327969947
        6.7882080000     -627.8406362231     2376.3572102446    -3056.9342414284     -627.8406362231
        6.9296290000     -730.2516678092     2281.2144383745    -3056.1136737987     -730.2516678092
        7.0710500000     -811.1213016743     2213.4784085517    -3055.5615425306     -811.1213016743
        7.2124710000     -864.0031799210     2175.4722090717    -3055.3040015231     -864.0031799210
        7.3538920000     -880.0215250252     2185.6800482551    -3055.5305013188     -880.0215250252
        7.4953130000     -835.0564074324     2267.2809898945    -3056.4824439712     -835.0564074324
        7.6367340000     -726.9047644882     2392.9381639027    -3057.8937838757     -726.9047644882
        7.7781550000     -618.2900315679     2469.6112653185    -3058.8266570022     -618.2900315679
        7.9195760000     -604.1098494909     2416.6194589770    -3058.4530467850     -604.1098494909
        8.0609970000     -710.8064445414     2267.8735385321    -3054.9079373669     -710.8064445414
        8.2024180000     -855.4587644261     2147.8133418107    -3053.8190184903     -855.4587644261
        8.3438390000     -908.5263968161     2203.5394055898    -3069.5738417183     -908.5263968161
        8.4852600000     -759.2525738703     2440.2124340771    -3076.9199639111     -759.2525738703
        8.6266810000     -511.3538296936     2672.9875509155    -3079.4429568916     -511.3538296936
        8.7681020000     -358.5521698907     2738.3917446887    -3075.5565998368     -358.5521698907
        8.9095230000     -338.4830634802     2677.9964901980    -3052.4959344489     -338.4830634802
        9.0509440000     -441.2146061886     2546.4813261017    -3055.1700165303     -441.2146061886
        9.1923650000     -489.4865072093     2581.8996698910    -3042.8251479632     -489.4865072093
        9.3337860000     -415.3458336477     2672.6764980340    -3043.9146821004     -415.3458336477
        9.4752070000     -354.2680664111     2679.7832311526    -3044.1730514906     -354.2680664111
        9.6166280000     -441.8648543319     2495.3082469752    -3042.4877449462     -441.8648543319
        9.7580490000     -670.2519883477     2272.5370069961    -3040.3766158434     -670.2519883477
        9.8994700000     -761.8376327042     2350.8849806862    -3041.2855899605     -761.8376327042
       10.0408910000     -519.9414236280     2705.2883595905    -3045.0234833322     -519.9414236280
       10.1823120000     -212.6018337739     2900.1773152002    -3047.2029327045     -212.6018337739
       10.3237330000     -216.9107721860     2700.7298508362    -3045.3986408795     -216.9107721860
       10.4651540000     -547.3500780214     2287.2201171112    -3041.3828968433     -547.3500780214
       10.6065750000     -934.0665811233     1958.6788688977    -3038.1742153234     -934.0665811233
       10.7479960000    -1158.2263896455     1848.1766885630    -3045.0804226151    -1158.2263896455
       10.8894170000    -1176.8749942855     1883.3756634366    -3015.5306544318    -1176.8749942855
       11.0308380000    -1038.3035987615     2086.7806242954    -3007.1488184616    -1038.3035987615
       11.1722590000     -755.3914719907     2431.6569061858    -3008.8578335121     -755.3914719907
       11.3136800000     -380.0146628564     2803.9848289711    -3008.5206743862     -380.0146628564
       11.4551010000     -125.8631336997     2882.1335092267    -3005.0009151049     -125.8631336997
       11.5965220000     -303.2922516439     2445.2724609409    -3000.7893995890     -303.2922516439
       11.7379430000     -833.9713954684     1975.5957405789    -3002.4783459315     -833.9713954684
       11.8793640000     -930.7403861017     2317.0172383842    -3005.9999360068     -930.7403861017
